name,lat,long,elev
Abu,34.5,131.6,571
Acamarachi,-23.3,-67.62,6046
Acatenango,14.501,-90.876,3976
Acigol-Nevsehir,38.57,34.52,1689
Adams,46.206,-121.49,3742
Adatara,37.62,140.28,1718
Adwa,10.07,40.84,1733
Afdera,13.08,40.85,1295
Agmagan-Karadag,40.275,44.75,3560
Agrigan,18.77,145.67,965
Agua,14.465,-90.743,3760
Agua de Pau,37.77,-25.47,947
Aguilera,-50.17,-73.83,0
Agung,-8.342,115.508,3142
Ahyi,20.42,145.03,-137
Akademia Nauk,53.983,159.45,1180
Akademia Nauk,53.98,159.45,1180
Akagi,36.53,139.18,1828
Akan,43.38,144.02,1499
Akhtang,55.43,158.65,1956
Akita-Komaga-take,39.75,140.8,1637
Akita-Yake-yama,39.97,140.77,1366
Akuseki-jima,29.461,129.597,584
Akuseki-jima,29.45,129.6,586
Akutan,54.13,-165.97,1303
Alaid,50.858,155.55,2339
Alamagan,17.6,145.83,744
Alayta,12.88,40.57,1501
"Albano, Monte",41.73,12.7,949
"Alcedo, Volcan",-0.43,-91.12,1130
Ale Bagu,13.52,40.63,1031
Alid,14.88,39.92,904
Alligator Lake,60.42,-135.42,2217
Almolonga,14.82,-91.48,3197
Alney-Chashakondzha,56.7,159.65,2598
Alngey,57.7,160.4,1853
Alu,13.82,40.55,429
Alutu,7.77,38.78,2335
Amak,55.42,-163.15,513
Amasing,-0.55,127.5,1030
Ambalatungan Group,17.32,121.1,2329
Ambang,0.75,124.42,1795
Ambitle,-4.08,153.65,450
Amboy,34.55,-115.78,288
Ambre-Bobaomby,-12.48,49.1,1475
Ambrym,-16.25,168.12,1334
Amorong,15.828,120.805,376
Amsterdam Island,-37.83,77.52,881
Amukta,52.5,-171.25,1066
Anatahan,16.35,145.67,788
Anaun,56.32,158.83,1828
Andahua Valley,-15.42,-72.33,4713
Andrus,-75.8,-132.33,2978
Aneityum,-20.2,169.83,852
Aniakchak,56.88,-158.17,1341
Ankaizina Field,-14.3,48.67,2878
Ankaratra Field,-19.4,47.2,2644
Antillanca Group,-40.771,-72.153,1990
Antipodes Island,-49.683,178.767,402
Antisana,-0.481,-78.141,5753
Antofagasta de la Sierra,-26.08,-67.5,4000
Antofagasta de la Sierra,-26.083,-67.5,4000
Antofalla,-25.53,-68,6100
Antuco,-37.406,-71.349,2979
Aoba,-15.4,167.83,1496
Aoga-shima,32.45,139.77,423
Apaneca Range,13.891,-89.786,2036
Apastepeque Field,13.72,-88.77,700
Apo,6.987,125.273,2954
Apoyeque,12.242,-86.342,518
Aracar,-24.27,-67.77,6082
Aracar,-24.25,-67.767,6082
Aragats,40.55,44.12,4090
"Aramuaca, Laguna",13.428,-88.105,180
Ararat,39.7,44.28,5165
Arayat,15.2,120.742,1026
Ardoukoba,11.58,42.47,298
Arenal,10.463,-84.703,1657
Arenales,-47.2,-73.483,3437
"Arhab, Harra of",15.63,44.08,3100
Arjuno-Welirang,-7.725,112.58,3339
Arshan,47.5,120.7,
Asama,36.4,138.53,2560
Asavyo,13.07,41.6,1200
Ascension,-7.95,-14.37,858
Askja,65.03,-16.75,1516
Aso,32.88,131.1,1592
Assab Volc Field,12.95,42.43,987
Asuncion,19.67,145.4,857
Atacazo,-0.353,-78.617,4463
Atakor Volc Field,23.333,5.833,2918
Atitlan,14.583,-91.186,3535
Atka,52.38,-174.15,1533
Atlasova,57.97,160.65,1764
"Atlixcos, Cerro Los",19.809,-96.526,800
Atsonupuri,44.804,147.13,1205
"Atuel, Caldera del",-34.65,-70.05,5189
Auckland Field,-36.9,174.87,260
Augustine,59.37,-153.42,1252
Avachinsky,53.255,158.83,2741
Awu,3.67,125.5,1320
Axial Seamount,45.95,-130,-1500
Ayelu,10.082,40.702,2145
"Azufral, Volcan",1.08,-77.68,4070
"Azul, Cerro",-0.9,-91.42,1690
"Azul, Cerro [Quizapu]",-35.653,-70.761,3788
"Azul, Volcan",12.53,-83.87,201
Azuma,37.73,140.25,2024
Babuyan Claro,19.523,121.94,1180
Bachelor,43.979,-121.688,2763
Bagana,-6.14,155.195,1750
Bakenin,53.905,158.07,2278
Baker,48.786,-121.82,3285
"Bal Haf, Harra of",14.05,48.33,233
Balatocan,8.8,124.92,2450
Balbi,-5.83,154.98,2715
Bald Knoll,37.328,-112.408,2135
Baluan,-2.57,147.28,254
Baluran,-7.85,114.37,1247
Balut,5.4,125.375,852
Bam,-3.6,144.85,685
Bamus,-5.2,151.23,2248
Banahao,14.07,121.48,2158
Banda Api,-4.525,129.871,640
Bandai,37.6,140.08,1819
Banua Wuhu,3.138,125.491,-5
Baransky,45.1,148.02,1132
Barcena,19.3,-110.82,332
Bardarbunga,64.63,-17.53,2000
Barkhatnaya Sopka,52.823,158.27,870
Barren Island,12.292,93.875,354
"Barrier, The",2.32,36.57,1032
Baru,8.8,-82.558,3477
Barva,10.135,-84.1,2906
Bas Dong Nai,10.8,107.2,392
Batur,-8.242,115.375,1717
"Bayo, Cerro",-25.42,-68.58,5401
Bayonnaise Rocks,31.92,139.92,10
Bayuda Volc Field,18.33,32.75,0
Bazman,28.07,60,3490
Behm Canal-Rudyerd Bay,55.32,-131.05,500
Belenkaya,51.75,157.27,892
Belirang-Beriti,-2.82,102.18,1958
Belknap,44.285,-121.841,2095
Bely,57.88,160.53,2080
Berlin,-76.05,-136,3478
Beru,8.95,39.75,1100
Berutarube,44.47,146.93,1220
Besar,-4.43,103.67,1899
Bezymianny,55.978,160.587,2882
Bibinoi,-0.78,127.72,900
Big Cave,40.955,-121.365,1259
Bilate River Field,7.07,38.1,1700
Biliran,11.523,124.534,1187
Billy Mitchell,-6.092,155.225,1544
Bir Borhut,15.55,50.63,0
"Birk, Harrat al",18.367,41.633,381
Bishoftu Volc Field,8.78,38.98,1850
Biu Plateau,10.75,12,0
Black Peak,56.53,-158.8,1032
Black Rock Desert,38.97,-112.5,1800
"Blanca, Loma",-36.286,-71.009,2268
Bliznets,56.97,159.78,1244
Bliznetsy,57.35,161.367,265
Blue Lake Crater,44.42,-121.77,1230
Blup Blup,-3.508,144.62,402
Bobrof,51.9,-177.43,738
Bogatyr Ridge,44.83,147.37,1634
Bogoslof,53.93,-168.03,101
Boisa,-3.994,144.963,240
Bola,-5.15,150.03,1155
Bolshe-Bannaya,52.9,157.78,1200
Bolshoi Payalpan,55.88,157.78,1906
Bolshoi Semiachik,54.32,160.02,1720
Bolshoi-Kekuknaysky,56.47,157.8,1401
Bombalai,4.4,117.88,531
Bona-Churchill,61.38,-141.75,5005
Boomerang Seamount,-37.721,77.825,-650
Bora-Bericcio Complex,8.27,39.03,2285
Borale Ale,13.725,40.6,668
Borawli,13.3,40.98,812
Borawli Complex,11.63,41.45,875
Boset-Bericha,8.558,39.475,2447
Bouvet,-54.42,3.35,780
Bratan,-8.28,115.13,2276
Brava,14.85,-24.72,900
"Bravo, Cerro",5.092,-75.3,4000
"Bravo, Cerro",5.092,-75.3,4000
Brennisteinsfjoll,63.92,-21.83,626
Bridge River Cones,50.8,-123.4,2500
Bridgeman Island,-62.05,-56.75,240
Brimstone Island,-30.23,-178.92,-2000
Bristol Island,-59.03,-26.58,1100
Brothers,-34.875,179.075,-1350
Brushy Butte,41.178,-121.443,1174
Buckle Island,-66.8,163.25,1239
Bud Dajo,5.95,121.07,440
Bufumbira,-1.23,29.72,2440
Buldir,52.37,175.98,656
Bulusan,12.77,124.05,1565
Bunyaruguru Field,-0.2,30.08,1554
"Burney, Monte",-52.33,-73.4,1758
Bus-Obo,47.12,109.08,1162
Butajiri-Silti Field,8.05,38.35,2281
Buzzard Creek,64.07,-148.42,830
Cabalian,10.287,125.22,945
Caburga,-39.2,-71.83,995
Cagua,18.222,122.123,1133
Calabozos,-35.558,-70.496,3508
Calatrava Volc Field,38.867,-4.017,1117
Calayo,7.877,125.068,646
Calbuco,-41.326,-72.614,2003
Callaqui,-37.92,-71.45,3164
"Cameroon, Mt.",4.203,9.17,4095
Camiguin,9.203,124.673,1332
Camiguin de Babuyanes,18.83,121.86,712
Campi Flegrei,40.827,14.139,458
Campi Flegrei Mar Sicilia,37.1,12.7,-8
Candlemas Island,-57.08,-26.67,550
Carlisle,52.9,-170.05,1620
Carran-Los Venados,-40.35,-72.07,1114
Carrizozo,33.78,-105.93,1731
"Casiri, Nevados",-17.47,-69.82,5650
Cayambe,0.029,-77.986,5790
Cayambe,0.029,-77.986,5790
Cayute-La Vigueria,-41.25,-72.27,506
Cayutué-La Viguería,-41.25,-72.267,506
Ceboruco,21.125,-104.508,2280
"Cendres, Ile des",10.158,109.014,-20
Central Island,3.5,36.042,550
Cereme,-6.892,108.4,3078
Ch'uga-ryong,38.33,127.33,452
Chacana,-0.375,-78.25,4643
"Chachani, Nevado",-16.191,-71.53,6057
"Chachani, Nevado",-16.191,-71.53,6057
Chagulak,52.57,-171.13,1142
Chaine des Puys,45.775,2.967,1464
Chaiten,-42.833,-72.646,962
Changbaishan,41.98,128.08,2744
"Chapulul, Cerro",-38.37,-71.08,2143
Cherny,56.82,159.67,1778
Cherpuk Group,55.55,157.467,1868
Chichinautzin,19.08,-99.13,3930
"Chichon, El",17.36,-93.228,1150
Chiginagak,57.13,-157,2075
Chikurachki,50.325,155.458,1816
Chiliques,-23.583,-67.7,5778
Chiliques,-23.58,-67.7,5778
"Chillan, Nevados de",-36.863,-71.377,3212
Chimborazo,-1.464,-78.815,6310
Chinameca,13.475,-88.32,1228
Chingo Volc Field,14.12,-89.73,1775
Chiquimula Volc Field,14.83,-89.55,1192
Chiracha,6.65,38.12,1650
Chirinkotan,48.98,153.48,724
Chirip,45.38,147.92,1589
Chirpoi,46.525,150.875,742
Chokai,39.08,140.03,2237
Chyulu Hills,-2.68,37.88,2188
"Ciguatepe, Cerro El",12.53,-86.142,603
Cinnamon Butte,43.241,-122.108,1956
"Cinotepec, Cerro",14.02,-89.25,665
Clark,-36.446,177.839,-860
Clear Lake,38.97,-122.77,1439
Cleft Segment,44.83,-130.3,-2140
Cleveland,52.82,-169.95,1730
Coatepeque Caldera,13.87,-89.55,746
"Cochons, Ile Aux",-46.1,50.23,775
Cofre de Perote,19.492,-97.15,4282
Colachi,-23.23,-67.65,5631
Coleman Seamount,-8.83,157.17,0
Colima,19.514,-103.62,3850
"Colluma, Cerro",-18.5,-68.07,3876
Colo [Una Una],-0.17,121.608,507
Comondu-La Purisima,26,-111.92,780
Concepcion,11.538,-85.622,1700
Conchagua,13.277,-87.853,1250
Conchaguita,13.22,-87.765,550
"Cook, Isla",-54.95,-70.27,150
Copahue,-37.85,-71.17,2965
Copiapo,-27.3,-69.13,6052
Corbetti Caldera,7.18,38.43,2320
Corcovado,-43.18,-72.8,2300
Cordon Chalviri,-23.85,-67.62,5623
Cordon de Puntas Negras,-23.75,-67.53,5852
Cordon del Azufre,-25.33,-68.52,5463
Coronado,29.08,-113.513,440
Coropuna,-15.52,-72.65,6377
Corvo,39.67,-31.07,715
Cosiguina,12.98,-87.57,872
Coso Volc Field,36.03,-117.82,2400
Cotopaxi,-0.677,-78.436,5911
Crater Basalt Volc Field,-42.017,-70.183,1359
Crater Lake,42.93,-122.12,2487
Crater Mountain,-6.58,145.08,3233
Craters of the Moon,43.42,-113.5,2005
Crow Lagoon,54.7,-130.23,335
Cu-Lao Re Group,15.38,109.12,181
Cuicocha,0.308,-78.364,3246
Cuilapa-Barbarena,14.33,-90.4,1454
Cuilapa-Barbarena,14.333,-90.4,1454
Cumbal,0.98,-77.88,4764
"Cumbres, Las",19.15,-97.27,3940
Curacoa,-15.62,-173.67,-33
Curacoa,-15.617,-173.667,-33
Curtis Island,-30.542,-178.561,137
"Cóndor, Cerro el",-26.617,-68.35,6532
Dabbahu,12.6,40.48,1442
Dabbayra,12.38,40.07,1302
Dacht-I-Navar Group,33.95,67.92,3800
Daikoku,21.324,144.194,-323
Daisetsu,43.68,142.88,2290
Dakataua,-5.056,150.108,400
Dalaffilla,13.792,40.55,613
Dallol,14.242,40.3,-48
Dama Ali,11.28,41.63,1068
Damavand,35.951,52.109,5670
Dana,55.62,-161.22,1354
Danau Complex,-6.2,105.97,1778
Dar-Alages,39.7,45.542,3329
Dariganga Volc Field,45.33,114,1778
"Darwin, Volcan",-0.18,-91.28,1330
"Daun, Bukit",-3.38,102.37,2467
Davidof,51.97,178.33,328
Davis Lake,43.57,-121.82,2163
Dawson Strait Group,-9.62,150.88,500
Deception Island,-62.97,-60.65,576
Demon,45.5,148.85,1205
Dempo,-4.03,103.13,3173
Denison,58.42,-154.45,2318
Descabezado Grande,-35.58,-70.75,3953
Devils Garden,43.512,-120.861,1698
Dgida Basin,50.52,103.25,1500
"Dhamar, Harras of",14.57,44.67,3500
"Diable, Morne Au",15.62,-61.45,861
"Diablotins, Morne",15.5,-61.42,1430
Diamond Craters,43.1,-118.75,1435
Didicas,19.077,122.202,244
Dieng Volc Complex,-7.2,109.92,2565
Diky Greben,51.43,157,1070
Dofen,9.35,40.13,1151
Doma Peaks,-5.9,143.15,3568
Domuyo,-36.63,-70.42,4709
Don Joao de Castro Bank,38.23,-26.63,-14
Dona Juana,1.47,-76.92,4150
Dotsero,39.65,-107.03,2230
Douglas,58.87,-153.55,2140
Doyo Seamount,27.683,140.8,-860
Dubbi,13.58,41.808,1625
Dukono,1.68,127.88,1185
Duncan Canal,56.5,-133.1,15
Durango Volc Field,24.15,-104.45,2075
Dutton,55.18,-162.27,1506
Dzenzursky,53.637,158.922,2155
E-san,41.8,141.17,618
Eagle Lake Field,40.63,-120.83,1652
Easter Island,-27.15,-109.383,511
Eastern Gemini Seamount,-20.98,170.28,-80
Ebeko,50.68,156.02,1156
Ebulobo,-8.808,121.18,2124
"Eburru, Ol Doinyo",-0.63,36.23,2856
"Ecuador, Volcan",-0.02,-91.546,790
Edgecumbe,57.05,-135.75,976
Edziza,57.72,-130.63,2786
Eggella,56.57,158.52,1046
Egmont,-39.3,174.07,2518
Egon,-8.67,122.45,1703
Ekarma,48.958,153.93,1170
Elbrus,43.33,42.45,5633
Elmenteita Badlands,-0.52,36.27,2126
Elovsky,57.53,160.53,1381
Emmons Lake,55.33,-162.07,1465
Emperor of China,-6.62,124.22,-2850
Emuruangogolak,1.5,36.33,1328
Endeavour Ridge,47.95,-129.1,-2400
Epi,-16.68,168.37,833
Erciyes Dagi,38.52,35.48,3916
Erebus,-77.53,167.17,3794
Erta Ale,13.6,40.67,613
Es Safa,33.08,37.15,979
Escanaba Segment,40.983,-127.5,-1700
"Escorial, Cerro",-25.08,-68.37,5447
Esjufjoll,64.27,-16.65,1760
Esmeralda Bank,15,145.25,-43
Espenberg,66.35,-164.33,243
"Est, Ile de l'",-46.43,52.2,1090
Esteli,13.17,-86.4,899
Etna,37.734,15.004,3350
Eyjafjallajokull,63.63,-19.62,1666
Falcon Island,-20.32,-175.42,-17
Farallon de Pajaros,20.53,144.9,360
Fayal,38.6,-28.73,1043
Fedotych,57.13,160.4,965
Fentale,8.975,39.93,2007
Fernandina,-0.37,-91.55,1495
"Firura, Nevados",-15.23,-72.63,5498
Fisher,54.67,-164.35,1094
Flores,39.4,-31.17,915
Flores,14.3,-90,1600
Fogo,14.95,-24.35,2829
Fonualei,-18.02,-174.325,200
Forecast Seamount,13.4,143.917,
Fort Portal Field,0.7,30.25,1524
Fort Selkirk,62.93,-137.38,1239
Four Craters Lava Field,43.361,-120.669,1501
"Fournaise, Piton de la",-21.229,55.713,2631
Fourpeaked,58.77,-153.68,2104
Fremrinamur,65.43,-16.65,939
Frosty,55.07,-162.82,1920
Fuego,14.473,-90.88,3763
Fuerteventura,28.358,-14.02,529
Fuji,35.35,138.73,3776
Fukue-jima,32.653,128.851,317
Fukujin,21.925,143.442,-217
Fukutoku-okanoba,24.28,141.52,-14
Furnas,37.77,-25.32,805
Fuss Peak,50.27,155.25,1772
Gabillema,11.08,41.27,1459
Gada Ale,13.975,40.408,287
Galapagos Rift,0.792,-86.15,-2430
Galapagos Rift,0.792,-86.15,-2430
Galeras,1.22,-77.37,4276
Gallego,-9.35,159.73,1000
Galunggung,-7.25,108.05,2168
Gamalama,0.8,127.325,1715
Gamchen,54.973,160.702,2576
Gamkonora,1.375,127.52,1635
Garbuna Group,-5.45,150.03,564
Gareloi,51.78,-178.8,1573
Garibaldi Lake,49.92,-123.03,2316
"Garibaldi, Mt.",49.85,-123,2678
Garove,-4.692,149.5,368
Garua Harbour,-5.269,150.088,565
Gaua,-14.27,167.5,797
Gedamsa Caldera,8.35,39.18,1984
Gede,-6.78,106.98,2958
Genovesa,0.32,-89.958,64
Geodesistoy,56.33,158.67,1170
Giggenbach,-30.036,-178.713,-65
Girekol,39.17,43.33,0
Glacier Peak,48.112,-121.113,3213
"Gloria, La",19.33,-97.25,3500
Golden Trout Creek,36.358,-118.32,2886
Golets-Tornyi Group,45.25,148.35,442
Gollu Dag,38.25,34.57,2143
Golovnin,43.85,145.53,541
Goodenough,-9.48,150.35,220
Gordon,62.13,-143.08,2755
Gorely,52.558,158.03,1829
Goriaschaia Sopka,46.83,151.75,891
Gorny Institute,57.33,160.2,2125
Graciosa,39.02,-27.97,402
Gran Canaria,28,-15.58,1950
Great Sitkin,52.08,-176.13,1740
Griggs,58.35,-155.1,2317
"Grille, La",-11.47,43.33,1087
Grimsnes,64.03,-20.87,214
Grimsvotn,64.42,-17.33,1725
Groppo,11.73,40.25,930
Grozny Group,45.02,147.87,1211
Guadalupe,29.07,-118.28,1100
Guagua Pichincha,-0.171,-78.598,4784
Guallatiri,-18.42,-69.17,6071
Guayaques,-22.88,-67.58,5598
Guazapa,13.9,-89.12,1438
Gufa,12.55,42.53,600
Guguan,17.32,145.85,287
Guntur,-7.13,107.83,2249
Gunungapi Wetar,-6.642,126.65,282
Hachijo-jima,33.13,139.77,854
Hachimantai,39.95,140.85,1614
Hainan Dao,19.7,110.1,
Hakkoda Group,40.65,140.88,1585
Hakone,35.22,139.02,1438
Haku-san,36.15,136.78,2702
Haleakala,20.708,-156.25,3055
Halla,33.37,126.53,1950
Hanish,13.72,42.73,422
Hargy,-5.33,151.1,1148
"Harrah, Al",31.083,38.417,1100
Haruj,27.25,17.5,1200
Haruna,36.47,138.88,1449
Hasan Dagi,38.13,34.17,3253
Haut Dong Nai,11.6,108.2,1000
Hayes,61.62,-152.48,2788
"Haylan, Jabal",15.43,44.78,1550
Hayli Gubbi,13.5,40.72,521
Healy,-35.004,178.973,980
Heard,-53.106,73.513,2745
Heart Peaks,58.6,-131.97,2012
Hekla,63.98,-19.7,1491
Hell's Half Acre,43.5,-112.45,1631
Hengill,64.18,-21.33,803
Herbert,52.75,-170.12,1290
Hertali,9.78,40.33,900
Hierro,27.73,-18.03,1500
Hijiori,38.6,140.18,516
Hiri,0.88,127.32,630
Hiuchi,36.95,139.28,2346
Hobicha Caldera,6.78,37.83,1800
Hodson,-56.7,-27.15,1005
Hofsjokull,64.78,-18.92,1782
Homa Mountain,-0.38,34.5,1751
Home Reef,-18.992,-174.775,-2
Honggeertu,41.47,113,1700
Hood,45.374,-121.694,3426
Hoodoo Mountain,56.78,-131.28,1820
Hornopiren,-41.874,-72.431,1572
Hromundartindur,64.073,-21.202,540
Hualalai,19.692,-155.87,2523
Huanquihue Group,-39.87,-71.55,1300
Huaynaputina,-16.608,-70.85,4850
Hudson Mountains,-74.33,-99.42,749
